# delta; F_drive; F_brake; gamma_y
0.01935; 91.02010; -0.00010; -32.66846
0.01555; 91.15925; -0.00010; -32.74907
0.01174; 91.13141; -0.00010; -32.53359
0.00793; 90.94719; -0.00010; -32.03958
0.00412; 90.62051; -0.00010; -31.28143
0.00032; 90.16801; -0.00010; -30.27111
-0.00189; 89.36302; -0.00010; -28.71994
0.00192; 87.71267; -0.00010; -25.92192
0.00573; 86.45729; -0.00010; -23.52754
0.00954; 85.53684; -0.00011; -21.55773
0.01336; 84.89357; -0.00011; -20.01599
0.01717; 84.47688; -0.00011; -18.89315
0.02076; 84.25961; -0.00011; -18.21924
0.01694; 84.64756; -0.00011; -19.40314
0.01312; 84.94923; -0.00011; -20.17780
0.00931; 85.15053; -0.00011; -20.57625
0.00549; 85.24670; -0.00011; -20.62748
0.00167; 85.24024; -0.00011; -20.35670
-0.00214; 85.13917; -0.00011; -19.78596
-0.00595; 84.95584; -0.00011; -18.93494
-0.00976; 84.70594; -0.00011; -17.82154
-0.01357; 84.40767; -0.00011; -16.46237
-0.01737; 84.08101; -0.00011; -14.87297
-0.02116; 83.74707; -0.00011; -13.06803
-0.02494; 83.42754; -0.00011; -11.06170
-0.02872; 83.14425; -0.00011; -8.86806
-0.03249; 82.91878; -0.00011; -6.50138
-0.03626; 82.77211; -0.00011; -3.97636
-0.04002; 82.72430; -0.00011; -1.30818
-0.04378; 82.79409; -0.00011; 1.48744
-0.04753; 82.99870; -0.00011; 4.39432
-0.05127; 83.35353; -0.00011; 7.39588
-0.05501; 83.87202; -0.00011; 10.47522
-0.05875; 84.56536; -0.00011; 13.61404
-0.06247; 85.44174; -0.00011; 16.79083
-0.06617; 86.50530; -0.00011; 19.98081
-0.06985; 87.75522; -0.00010; 23.15723
-0.07348; 89.18553; -0.00010; 26.29395
-0.07705; 90.78617; -0.00010; 29.36930
-0.08056; 92.54536; -0.00010; 32.36870
-0.08401; 94.45344; -0.00009; 35.28953
-0.08741; 96.50893; -0.00009; 38.14596
-0.09081; 98.72316; -0.00009; 40.96331
-0.09425; 101.11892; -0.00009; 43.76657
