# delta; F_drive; F_brake; gamma_y
-0.00026; 81.41343; -0.00006; -1.88199
0.01382; 81.56931; -0.00006; 1.21833
0.01323; 81.51278; -0.00006; -0.21884
-0.00094; 81.56035; -0.00006; -4.32078
-0.00529; 81.65652; -0.00006; -4.81300
-0.00468; 81.56304; -0.00006; -3.85517
-0.00362; 81.48613; -0.00006; -2.92845
-0.00273; 81.43990; -0.00006; -2.20102
-0.00204; 81.41347; -0.00006; -1.64894
-0.00147; 81.39811; -0.00006; -1.22381
-0.00069; 81.38750; -0.00006; -0.83821
0.00161; 81.38165; -0.00006; -0.23193
0.00258; 81.38453; -0.00006; -0.15496
0.00134; 81.38349; -0.00006; -0.63077
0.00483; 81.39814; -0.00006; 0.02461
0.00543; 81.40123; -0.00006; -0.27704
0.00155; 81.40009; -0.00006; -1.54582
-0.00003; 81.41309; -0.00006; -1.89279
-0.00059; 81.41395; -0.00006; -1.86324
-0.00117; 81.41380; -0.00006; -1.78967
-0.00065; 81.40079; -0.00006; -1.44121
-0.00040; 81.39442; -0.00006; -1.22079
-0.00090; 81.39537; -0.00006; -1.19863
-0.00109; 81.39299; -0.00006; -1.06593
-0.00086; 81.38798; -0.00006; -0.84109
-0.00032; 81.38327; -0.00006; -0.58707
0.00053; 81.38069; -0.00006; -0.33725
0.00435; 81.39922; -0.00006; 0.43633
0.00602; 81.41273; -0.00006; 0.36607
0.00206; 81.38941; -0.00006; -1.01853
0.00020; 81.40044; -0.00006; -1.50928
0.00153; 81.39080; -0.00006; -1.13383
0.00902; 81.45016; -0.00006; 0.37810
0.00447; 81.40384; -0.00006; -1.39741
-0.00299; 81.49934; -0.00006; -3.23959
-0.00329; 81.47483; -0.00006; -2.79044
-0.00264; 81.43708; -0.00006; -2.15241
-0.00202; 81.41257; -0.00006; -1.62545
-0.00153; 81.39826; -0.00006; -1.21987
-0.00112; 81.38988; -0.00006; -0.90576
-0.00050; 81.38382; -0.00006; -0.60921
0.00536; 81.41260; -0.00006; 0.70238
0.00441; 81.39476; -0.00006; -0.02287
-0.00030; 81.39840; -0.00006; -1.39084
-0.00019; 81.39428; -0.00006; -1.23543
0.00749; 81.43123; -0.00006; 0.47485
0.00569; 81.40310; -0.00006; -0.59827
-0.00064; 81.43477; -0.00006; -2.37341
-0.00092; 81.42818; -0.00006; -2.19250
0.00313; 81.39329; -0.00006; -1.10075
0.00981; 81.45675; -0.00006; 0.09898
0.00354; 81.41843; -0.00006; -2.08265
-0.00361; 81.53975; -0.00006; -3.72436
-0.00373; 81.50092; -0.00006; -3.14731
-0.00296; 81.45208; -0.00006; -2.41844
-0.00226; 81.42102; -0.00006; -1.82471
-0.00170; 81.40301; -0.00006; -1.37010
-0.00125; 81.39263; -0.00006; -1.02266
-0.00079; 81.38613; -0.00006; -0.73728
0.00115; 81.38076; -0.00006; -0.20816
0.00088; 81.38096; -0.00006; -0.34903
-0.00070; 81.38585; -0.00006; -0.73149
-0.00072; 81.38434; -0.00006; -0.61742
-0.00059; 81.38253; -0.00006; -0.47841
-0.00046; 81.38133; -0.00006; -0.36218
-0.00034; 81.38061; -0.00006; -0.27025
-0.00019; 81.38011; -0.00006; -0.18928
0.00157; 81.38255; -0.00006; 0.21026
0.01184; 81.57457; -0.00006; 2.19371
0.00948; 81.45956; -0.00006; 0.48927
-0.00235; 81.47004; -0.00006; -2.85076
-0.00297; 81.45895; -0.00006; -2.55273
-0.00244; 81.42848; -0.00006; -1.98481
-0.00188; 81.40784; -0.00006; -1.50219
-0.00142; 81.39555; -0.00006; -1.12560
-0.00094; 81.38773; -0.00006; -0.81342
0.00184; 81.38218; -0.00006; -0.08758
0.01812; 81.81622; -0.00006; 3.14049
0.01454; 81.56091; -0.00006; 0.56324
-0.00355; 81.60533; -0.00006; -4.52910
-0.00480; 81.58716; -0.00006; -4.13058
-0.00393; 81.50736; -0.00006; -3.21245
-0.00300; 81.45287; -0.00006; -2.42756
-0.00227; 81.42109; -0.00006; -1.82410
-0.00171; 81.40302; -0.00006; -1.36805
-0.00127; 81.39265; -0.00006; -1.02050
-0.00079; 81.38601; -0.00006; -0.72947
0.00273; 81.38620; -0.00006; 0.12698
0.00298; 81.38639; -0.00006; -0.07055
0.00070; 81.38523; -0.00006; -0.80526
0.00063; 81.38545; -0.00006; -0.81950
0.00381; 81.39039; -0.00006; -0.15023
0.00211; 81.38687; -0.00006; -0.82915
-0.00149; 81.41236; -0.00006; -1.70309
-0.00171; 81.40651; -0.00006; -1.48708
-0.00142; 81.39635; -0.00006; -1.16039
-0.00111; 81.38938; -0.00006; -0.88106
-0.00084; 81.38518; -0.00006; -0.66127
-0.00063; 81.38273; -0.00006; -0.49174
-0.00041; 81.38121; -0.00006; -0.35292
0.00151; 81.38186; -0.00006; 0.11033
0.01266; 81.59880; -0.00006; 2.28863
0.01011; 81.46919; -0.00006; 0.46708
-0.00251; 81.48548; -0.00006; -3.09045
-0.00320; 81.47317; -0.00006; -2.77646
-0.00263; 81.43741; -0.00006; -2.16297
-0.00202; 81.41308; -0.00006; -1.64050
-0.00154; 81.39866; -0.00006; -1.23462
-0.00114; 81.39026; -0.00006; -0.92245
-0.00077; 81.38516; -0.00006; -0.67275
0.00039; 81.38054; -0.00006; -0.31335
0.00857; 81.47341; -0.00006; 1.38143
0.00669; 81.41621; -0.00006; 0.12540
-0.00110; 81.42522; -0.00006; -2.09887
-0.00083; 81.41210; -0.00006; -1.78325
0.00293; 81.38864; -0.00006; -0.79021
0.00233; 81.39146; -0.00006; -1.11358
