# delta; F_drive; F_brake; gamma_y
0.00000; 81.37964; -0.00001; -0.00014
0.00000; 81.37964; -0.00001; -0.00014
0.00000; 81.37964; -0.00001; -0.00015
0.00000; 81.37964; -0.00001; -0.00015
0.00000; 81.37964; -0.00001; -0.00014
0.00000; 81.37964; -0.00001; -0.00014
0.00000; 81.37964; -0.00001; -0.00014
0.00000; 81.37964; -0.00001; -0.00015
0.00000; 81.37964; -0.00001; -0.00015
0.00000; 81.37964; -0.00001; -0.00015
0.00000; 81.37964; -0.00001; -0.00015
0.00000; 81.37964; -0.00001; -0.00015
0.00000; 81.37964; -0.00001; -0.00016
0.00000; 81.37964; -0.00001; -0.00017
0.00000; 81.37964; -0.00001; -0.00017
0.00000; 81.37964; -0.00001; -0.00018
-0.00000; 81.37964; -0.00001; -0.00018
-0.00000; 81.37964; -0.00001; -0.00019
-0.00000; 81.37964; -0.00001; -0.00019
-0.00000; 81.37964; -0.00001; -0.00018
-0.00000; 81.37964; -0.00001; -0.00015
-0.00000; 81.37964; -0.00001; -0.00011
-0.00000; 81.37964; -0.00001; -0.00003
-0.00000; 81.37964; -0.00001; 0.00006
-0.00000; 81.37964; -0.00001; 0.00019
-0.00000; 81.37964; -0.00001; 0.00039
-0.00000; 81.37964; -0.00001; 0.00066
0.00000; 81.37964; -0.00001; 0.00099
0.00000; 81.37964; -0.00001; 0.00140
0.00001; 81.37964; -0.00001; 0.00189
0.00001; 81.37964; -0.00001; 0.00243
0.00003; 81.37965; -0.00001; 0.00298
0.00004; 81.37965; -0.00001; 0.00339
0.00007; 81.37965; -0.00001; 0.00348
0.00010; 81.37966; -0.00001; 0.00290
0.00015; 81.37967; -0.00001; 0.00114
0.00022; 81.37969; -0.00001; -0.00262
0.00031; 81.37974; -0.00001; -0.00953
0.00042; 81.37982; -0.00001; -0.02126
0.00056; 81.37994; -0.00001; -0.04018
0.00071; 81.38011; -0.00001; -0.06945
0.00087; 81.38034; -0.00001; -0.11327
0.00101; 81.38060; -0.00001; -0.17705
0.00108; 81.38084; -0.00001; -0.26732
0.00100; 81.38109; -0.00001; -0.39135
0.00064; 81.38170; -0.00001; -0.55536
-0.00015; 81.38419; -0.00001; -0.76157
-0.00159; 81.39257; -0.00001; -0.99614
-0.00360; 81.41075; -0.00001; -1.15960
-0.00300; 81.39266; -0.00001; -0.42268
0.02595; 82.76915; -0.00001; 6.99380
0.00928; 81.46063; -0.00001; -1.20161
-0.04395; 86.17927; -0.00001; -14.94716
-0.06628; 88.56698; -0.00001; -13.01262
-0.08204; 89.59697; -0.00001; -7.30787
-0.09352; 90.11826; -0.00001; 0.60960
-0.10361; 91.15660; -0.00001; 9.46092
-0.09939; 91.07635; -0.00001; 22.11468
-0.16938; 106.43405; -0.00001; 14.73472
-0.02550; 114.06911; -0.00001; 65.77888
-0.22568; 124.13356; -0.00001; 15.78752
-0.02660; 136.62960; -0.00001; 82.66591
-0.22540; 124.28011; -0.00001; 35.05452
-0.03013; 159.75673; -0.00001; 95.15741
-0.07325; 141.37333; -0.00001; 86.97600
-0.26179; 138.26358; -0.00001; 42.21768
-0.26180; 146.04494; -0.00001; 62.87688
-0.26180; 159.33345; -0.00001; 79.13109
-0.24044; 178.69116; -0.00000; 96.03000
-0.06801; 256.86579; -0.00000; 122.87264
0.09778; 327.62077; -0.00000; 127.16543
0.25644; 385.93718; -0.00000; 125.66845
0.26176; 390.14693; -0.00000; 125.79044
0.14350; 351.60056; -0.00000; 127.70655
0.09047; 333.14981; -0.00000; 127.99421
0.06616; 324.66681; -0.00000; 127.98949
0.05271; 319.97013; -0.00000; 127.94304
0.04987; 319.09685; -0.00000; 127.94131
0.05187; 319.82774; -0.00000; 127.95325
0.05332; 320.02581; -0.00000; 127.92722
0.05469; 319.88238; -0.00000; 127.86816
0.05612; 319.46490; -0.00000; 127.77762
0.05770; 318.80455; -0.00000; 127.65582
0.05948; 317.91574; -0.00000; 127.50164
0.06148; 316.80052; -0.00000; 127.31241
0.06374; 315.45057; -0.00000; 127.08394
0.06631; 313.85087; -0.00000; 126.81097
0.06921; 311.98494; -0.00000; 126.48784
