# track_x; track_y
91.91008; -15.15142
91.87200; -16.15074
91.85281; -17.15171
91.85683; -18.15468
91.88842; -19.16000
91.95191; -20.16799
92.05125; -21.17708
92.18968; -22.18248
92.37038; -23.17908
92.59654; -24.16176
92.87133; -25.12541
93.19795; -26.06491
93.57957; -26.97515
94.01937; -27.85101
94.52053; -28.68738
95.08621; -29.47917
95.71643; -30.22326
96.40605; -30.91987
97.14937; -31.56953
97.94074; -32.17277
98.77447; -32.73013
99.64489; -33.24213
100.54633; -33.70932
101.47311; -34.13223
102.41957; -34.51139
103.38002; -34.84733
104.34883; -35.14062
105.32209; -35.39394
106.29881; -35.61350
107.27826; -35.80583
108.25972; -35.97747
109.24246; -36.13494
110.22575; -36.28479
111.20889; -36.43353
112.19113; -36.58772
113.17175; -36.75387
114.15003; -36.93851
115.12499; -37.14637
116.09524; -37.37936
117.05938; -37.63911
118.01597; -37.92726
118.96360; -38.24544
119.90086; -38.59529
120.82633; -38.97845
121.73858; -39.39654
122.63620; -39.85120
123.51775; -40.34407
124.38025; -40.87616
125.21825; -41.44753
126.02609; -42.05818
126.79812; -42.70807
127.52868; -43.39719
128.21209; -44.12552
128.84271; -44.89302
129.41486; -45.69969
129.92289; -46.54549
130.36117; -47.43037
130.72609; -48.35172
131.01723; -49.30294
131.23442; -50.27705
131.37751; -51.26712
131.44634; -52.26617
131.44077; -53.26726
131.36064; -54.26343
131.20579; -55.24772
130.97607; -56.21317
130.67138; -57.15290
130.29523; -58.06396
129.85657; -58.94943
129.36485; -59.81291
128.82950; -60.65798
128.25996; -61.48823
127.66565; -62.30726
127.05603; -63.11866
126.44051; -63.92601
125.82854; -64.73291
125.22947; -65.54293
124.64852; -66.35859
124.08466; -67.18081
123.53637; -68.01038
123.00209; -68.84812
122.48027; -69.69477
121.96744; -70.54925
121.45732; -71.40772
120.94341; -72.26609
120.41921; -73.12029
119.87825; -73.96625
119.31618; -74.80023
118.73179; -75.61895
118.12412; -76.41917
117.49220; -77.19765
116.83506; -77.95116
116.15174; -78.67645
115.44128; -79.37030
114.70271; -80.02945
113.93506; -80.65067
113.13740; -81.23079
112.31040; -81.76945
111.45704; -82.27043
110.58045; -82.73781
109.68381; -83.17568
108.77025; -83.58814
107.84295; -83.97926
106.90504; -84.35314
105.95969; -84.71387
105.01006; -85.06553
104.05928; -85.41222
103.11050; -85.75798
102.16539; -86.10516
101.22362; -86.45365
100.28466; -86.80317
99.34803; -87.15344
98.41321; -87.50416
97.47970; -87.85506
96.54698; -88.20584
95.61456; -88.55622
94.68193; -88.90591
93.74859; -89.25463
92.81426; -89.60224
91.87897; -89.94880
90.94280; -90.29436
90.00580; -90.63900
89.06803; -90.98280
88.12955; -91.32582
87.19043; -91.66813
86.25072; -92.00980
85.31049; -92.35089
84.36981; -92.69149
83.42872; -93.03166
82.48729; -93.37147
81.54559; -93.71099
80.60367; -94.05028
79.66160; -94.38943
78.71943; -94.72849
77.77724; -95.06754
76.83507; -95.40665
75.89299; -95.74588
74.95107; -96.08531
74.00933; -96.42499
73.06779; -96.76491
72.12643; -97.10510
71.18527; -97.44557
70.24430; -97.78632
69.30351; -98.12736
68.36292; -98.46870
67.42252; -98.81036
66.48232; -99.15234
65.54230; -99.49466
64.60247; -99.83732
63.66284; -100.18033
62.72340; -100.52370
61.78415; -100.86745
60.84509; -101.21157
59.90623; -101.55610
58.96755; -101.90102
58.02907; -102.24635
57.09078; -102.59211
56.15268; -102.93830
55.21478; -103.28493
54.27706; -103.63201
53.33954; -103.97956
52.40222; -104.32758
51.46508; -104.67607
50.52814; -105.02506
49.59139; -105.37455
48.65484; -105.72455
47.71848; -106.07507
46.78231; -106.42613
45.84633; -106.77772
44.91055; -107.12987
43.97496; -107.48257
43.03956; -107.83585
42.10436; -108.18970
41.16936; -108.54415
40.23454; -108.89919
39.29992; -109.25485
38.36550; -109.61112
37.43127; -109.96803
36.49723; -110.32557
35.56338; -110.68372
34.62972; -111.04249
33.69625; -111.40186
32.76297; -111.76181
31.82987; -112.12234
30.89695; -112.48345
29.96420; -112.84510
29.03164; -113.20731
28.09924; -113.57005
27.16702; -113.93331
26.23497; -114.29709
25.30309; -114.66137
24.37138; -115.02615
23.43983; -115.39141
22.50844; -115.75714
21.57721; -116.12333
20.64614; -116.48997
19.71522; -116.85705
18.78446; -117.22456
17.85384; -117.59249
16.92338; -117.96082
15.99306; -118.32956
15.06289; -118.69868
14.13287; -119.06817
13.20298; -119.43804
12.27323; -119.80825
11.34362; -120.17881
10.41414; -120.54970
9.48479; -120.92092
8.55558; -121.29245
7.62649; -121.66427
6.69753; -122.03639
5.76869; -122.40879
4.83998; -122.78146
3.91138; -123.15439
2.98291; -123.52757
2.05454; -123.90098
1.12629; -124.27462
0.19816; -124.64847
-0.72987; -125.02253
-1.65780; -125.39679
