# delta; F_drive; F_brake; gamma_y
-0.01623; 103.05905; -0.00005; -10.46607
0.05731; 106.07529; -0.00005; 11.03372
0.01494; 102.09531; -0.00005; -3.70209
-0.04720; 108.53593; -0.00005; -22.34617
-0.03879; 106.62447; -0.00005; -19.11920
-0.02281; 104.02801; -0.00005; -13.63263
-0.00240; 102.26461; -0.00005; -6.91109
0.07392; 109.03288; -0.00005; 14.89796
0.03633; 103.07824; -0.00005; 2.03951
-0.03763; 107.17837; -0.00005; -20.93438
-0.03402; 106.25310; -0.00005; -19.03427
-0.02005; 104.02647; -0.00005; -14.10552
-0.01187; 103.06001; -0.00005; -10.97182
-0.00719; 102.62101; -0.00005; -9.01664
-0.00445; 102.39932; -0.00005; -7.74839
-0.00291; 102.27809; -0.00005; -6.90654
-0.00203; 102.20421; -0.00005; -6.31334
-0.00151; 102.15353; -0.00005; -5.85951
-0.00120; 102.11598; -0.00005; -5.49249
-0.00099; 102.08576; -0.00005; -5.17520
-0.00086; 102.06096; -0.00005; -4.89739
-0.00080; 102.04050; -0.00005; -4.65369
-0.00075; 102.02219; -0.00005; -4.42397
-0.00065; 102.00444; -0.00005; -4.19109
-0.00055; 101.98820; -0.00005; -3.96646
-0.00050; 101.97499; -0.00005; -3.77239
-0.00056; 101.96524; -0.00005; -3.61919
-0.00061; 101.95613; -0.00005; -3.46971
-0.00056; 101.94577; -0.00005; -3.29557
-0.00050; 101.93619; -0.00005; -3.12630
-0.00049; 101.92830; -0.00005; -2.97842
-0.00046; 101.92091; -0.00005; -2.83334
-0.00043; 101.91414; -0.00005; -2.69379
-0.00042; 101.90823; -0.00005; -2.56514
-0.00034; 101.90196; -0.00005; -2.42353
-0.00035; 101.89743; -0.00005; -2.31375
-0.00037; 101.89353; -0.00005; -2.21417
-0.00035; 101.88952; -0.00005; -2.10794
-0.00030; 101.88534; -0.00005; -1.99311
-0.00070; 101.88703; -0.00005; -2.02265
-0.00067; 101.88317; -0.00005; -1.91063
0.02441; 102.71582; -0.00005; 5.61903
0.01317; 102.03110; -0.00005; 1.42581
-0.01189; 102.37569; -0.00005; -6.58274
-0.00856; 102.16703; -0.00005; -5.23369
-0.00509; 102.01102; -0.00005; -3.89511
-0.00295; 101.94071; -0.00005; -3.03550
0.00005; 101.88414; -0.00005; -1.98064
-0.00008; 101.88349; -0.00005; -1.95904
-0.00177; 101.90472; -0.00005; -2.40544
-0.00143; 101.89450; -0.00005; -2.17866
-0.00231; 101.90409; -0.00005; -2.32337
0.00376; 101.86422; -0.00005; -0.36248
0.03386; 103.60506; -0.00005; 8.39548
0.11991; 121.94071; -0.00004; 27.49591
0.04805; 104.48602; -0.00005; 7.21371
-0.04003; 107.18383; -0.00005; -20.51699
-0.05314; 109.46338; -0.00004; -23.12637
-0.02831; 104.72349; -0.00005; -15.22911
-0.01584; 103.13504; -0.00005; -10.77721
0.00001; 102.10645; -0.00005; -5.50151
0.07324; 109.06723; -0.00005; 15.32052
0.03642; 103.12919; -0.00005; 2.75161
-0.03582; 106.62335; -0.00005; -19.78457
-0.03192; 105.71181; -0.00005; -17.82339
-0.01535; 103.39726; -0.00005; -12.15932
0.02802; 102.58355; -0.00005; 1.27549
0.00794; 102.14793; -0.00005; -5.67995
-0.01835; 103.85198; -0.00005; -13.70494
-0.01223; 103.12669; -0.00005; -11.29291
0.00801; 102.08416; -0.00005; -4.78998
0.00346; 102.18783; -0.00005; -6.33396
-0.01160; 103.01860; -0.00005; -10.81416
-0.00983; 102.79476; -0.00005; -9.78067
-0.00648; 102.49919; -0.00005; -8.28473
-0.00422; 102.32375; -0.00005; -7.18809
-0.00280; 102.21927; -0.00005; -6.40630
-0.00196; 102.15403; -0.00005; -5.84234
-0.00142; 102.10810; -0.00005; -5.39901
-0.00103; 102.07247; -0.00005; -5.02322
-0.00094; 102.04992; -0.00005; -4.76183
-0.00101; 102.03365; -0.00005; -4.55829
-0.00100; 102.01633; -0.00005; -4.33495
