# inner_x; inner_y
47.46825; -55.85239
47.27196; -57.27412
46.92119; -58.66458
46.48419; -60.01010
45.91302; -61.30010
45.23149; -62.52353
44.40136; -63.69535
43.45756; -64.81367
42.42618; -65.73946
41.40765; -66.51160
40.41728; -67.20701
39.32636; -67.83910
38.10411; -68.41159
36.88421; -68.83544
35.72767; -69.15122
34.59526; -69.37442
33.53274; -69.51135
32.53506; -69.57764
31.51851; -69.59439
30.48409; -69.59061
29.46786; -69.59751
28.45290; -69.58594
27.44350; -69.57318
26.44351; -69.58148
25.44216; -69.57665
24.44156; -69.57371
23.45021; -69.60933
22.47513; -69.70365
21.50694; -69.80458
20.54740; -69.94315
19.59233; -70.14799
18.67158; -70.36989
17.83197; -70.58886
17.01570; -70.89090
16.13021; -71.24561
15.20315; -71.59479
14.27171; -71.94214
13.33656; -72.29506
12.39799; -72.64833
11.46649; -73.02989
10.53765; -73.42402
9.62040; -73.85482
8.68469; -74.23722
7.75181; -74.62954
6.81843; -75.02137
5.88275; -75.40637
4.93525; -75.75692
4.00142; -76.14406
3.05664; -76.50393
2.10651; -76.84526
1.16062; -77.18336
0.22198; -77.53086
-0.71319; -77.88190
-1.64933; -78.22520
-2.57685; -78.58875
-3.50574; -78.94500
-4.43559; -79.29585
-5.36873; -79.63544
-6.30925; -79.95295
-7.24832; -80.27409
-8.18570; -80.60019
-9.12566; -80.91988
-10.07185; -81.22352
-11.02528; -81.50889
-11.97518; -81.80710
-12.93142; -82.09094
-13.89447; -82.35987
-14.86052; -82.62615
-15.83742; -82.87090
-16.81197; -83.12904
-17.78320; -83.39831
-18.74360; -83.70081
-19.70101; -84.01423
-20.65854; -84.32759
-21.61661; -84.63809
-22.57444; -84.94027
-23.53226; -85.24079
-24.45494; -85.54539
-25.29753; -85.85511
-26.12098; -86.20654
-27.00682; -86.58823
-27.92052; -86.96447
-28.81264; -87.34730
-29.69826; -87.74782
-30.56502; -88.13495
-31.35286; -88.50766
-32.12565; -88.91203
-32.96217; -89.37294
-33.82361; -89.86039
-34.67127; -90.36143
-35.50866; -90.87837
-36.32742; -91.43879
-37.14751; -92.00315
-37.97109; -92.56046
-38.79060; -93.12411
-39.57783; -93.74594
-40.37008; -94.35851
-41.14125; -95.00940
-41.87191; -95.73400
-42.61529; -96.43580
-43.36769; -97.12111
-44.14077; -97.76784
-44.91721; -98.40632
-45.67974; -99.06669
-46.41181; -99.77792
-47.15664; -100.46014
-47.94564; -101.05610
-48.75803; -101.60484
-49.57337; -102.15043
-50.40296; -102.67394
-51.33421; -103.19918
-52.48120; -103.76231
-53.66736; -104.22377
-54.74333; -104.60763
-55.92253; -104.96755
-57.16419; -105.25230
-58.35311; -105.46811
-59.50461; -105.61948
-60.60952; -105.70559
-61.75225; -105.81046
-62.89994; -105.79891
-63.95060; -105.79738
-65.01702; -105.82952
-66.19583; -105.83195
-67.36538; -105.72336
-68.44185; -105.61033
-69.51098; -105.53052
-70.57907; -105.38150
-71.64931; -105.24006
-72.73713; -105.06065
-73.87584; -104.83977
-75.11222; -104.53671
-76.31384; -104.15766
-77.37839; -103.77090
-78.39537; -103.36628
-79.45928; -102.91851
-80.52838; -102.40933
-81.54581; -101.84516
-82.60294; -101.25729
-83.59295; -100.60188
-84.47699; -99.98680
-85.38020; -99.33167
-86.30622; -98.59587
-87.16798; -97.84223
-87.99687; -97.08748
-88.80256; -96.29525
-89.59769; -95.45650
-90.36276; -94.58090
-91.07215; -93.70747
-91.76114; -92.80363
-92.43995; -91.83666
-93.07250; -90.84492
-93.66393; -89.83399
-94.19788; -88.82192
-94.69340; -87.83698
-95.16846; -86.81750
-95.60424; -85.77720
-96.02049; -84.76012
-96.40648; -83.71343
-96.78156; -82.60925
-97.11311; -81.47138
-97.39941; -80.32196
-97.62916; -79.19996
-97.82770; -78.10608
-98.00329; -76.91361
-98.09744; -75.71062
-98.17567; -74.57842
-98.20537; -73.34412
-98.15109; -72.11093
-98.06461; -70.98590
-97.92886; -69.78980
-97.71279; -68.60439
-97.49576; -67.49408
-97.18891; -66.28546
-96.80272; -65.10526
-96.42760; -64.09242
-96.04583; -63.09014
-95.62378; -62.08247
-95.19536; -61.10971
-94.74904; -60.15755
-94.27490; -59.16714
-93.70702; -58.10092
-93.08443; -57.09263
-92.50501; -56.16844
-91.87618; -55.23969
-91.19774; -54.34330
-90.53797; -53.53428
-89.85844; -52.77996
-89.09512; -52.08606
-88.38892; -51.35112
-87.61413; -50.65250
-86.81230; -49.96766
-86.04444; -49.27606
