# delta; F_drive; F_brake; gamma_y
-0.00016; 81.37978; -0.00006; 0.11114
-0.00009; 81.37976; -0.00006; 0.12571
-0.00005; 81.37974; -0.00006; 0.11540
-0.00003; 81.37973; -0.00006; 0.10042
0.00002; 81.37974; -0.00006; 0.09454
0.00015; 81.37984; -0.00006; 0.09200
0.00045; 81.38035; -0.00006; 0.08642
0.00166; 81.38768; -0.00006; 0.19727
0.00956; 81.65853; -0.00006; 1.40588
0.01143; 81.64297; -0.00006; -1.66443
0.00392; 81.53553; -0.00006; -6.31336
0.00770; 81.48536; -0.00006; -4.50236
0.00847; 81.51693; -0.00006; -5.46508
0.00074; 81.68161; -0.00006; -8.29692
-0.00039; 81.55507; -0.00006; -6.26737
0.00704; 81.44738; -0.00006; -2.80709
0.01958; 82.17850; -0.00006; -1.72127
0.01565; 81.84127; -0.00006; -8.55376
0.00145; 82.25436; -0.00006; -13.95064
-0.00276; 82.03122; -0.00006; -10.95539
0.00021; 81.52624; -0.00006; -6.41170
0.00205; 81.43148; -0.00006; -4.68805
-0.00050; 81.48834; -0.00006; -4.97067
0.00279; 81.39564; -0.00006; -2.85851
0.02928; 83.77246; -0.00006; 2.86539
0.03598; 83.88482; -0.00006; -6.13606
0.00747; 83.37156; -0.00006; -21.84467
-0.00178; 83.14687; -0.00006; -18.92603
0.00197; 81.86647; -0.00006; -11.96928
0.00351; 81.62223; -0.00006; -9.38636
-0.00363; 81.95782; -0.00006; -9.99180
-0.00493; 81.72287; -0.00006; -6.60928
-0.00442; 81.52493; -0.00006; -3.52451
-0.00345; 81.43158; -0.00006; -1.39466
-0.00225; 81.39390; -0.00006; -0.04888
-0.00118; 81.38407; -0.00006; 0.61767
-0.00048; 81.38265; -0.00006; 0.78696
-0.00004; 81.38217; -0.00006; 0.71607
0.00018; 81.38142; -0.00006; 0.54247
0.00025; 81.38064; -0.00006; 0.35081
0.00023; 81.38010; -0.00006; 0.18794
0.00017; 81.37983; -0.00006; 0.07246
0.00011; 81.37973; -0.00006; 0.00332
0.00006; 81.37971; -0.00006; -0.02993
0.00002; 81.37970; -0.00006; -0.03955
0.00000; 81.37970; -0.00006; -0.03610
-0.00001; 81.37970; -0.00006; -0.02720
-0.00001; 81.37970; -0.00006; -0.01752
-0.00001; 81.37970; -0.00006; -0.00945
-0.00001; 81.37969; -0.00006; -0.00377
-0.00001; 81.37969; -0.00006; -0.00037
-0.00000; 81.37969; -0.00006; 0.00126
-0.00000; 81.37969; -0.00006; 0.00174
0.00000; 81.37969; -0.00006; 0.00158
0.00000; 81.37969; -0.00006; 0.00115
0.00000; 81.37969; -0.00006; 0.00068
0.00000; 81.37969; -0.00006; 0.00030
0.00000; 81.37969; -0.00006; 0.00003
0.00000; 81.37969; -0.00006; -0.00012
0.00000; 81.37969; -0.00006; -0.00019
0.00000; 81.37969; -0.00006; -0.00021
0.00000; 81.37969; -0.00006; -0.00019
0.00000; 81.37969; -0.00006; -0.00016
0.00000; 81.37969; -0.00006; -0.00013
0.00000; 81.37969; -0.00006; -0.00010
0.00000; 81.37969; -0.00006; -0.00008
0.00000; 81.37969; -0.00006; -0.00007
0.00000; 81.37969; -0.00006; -0.00006
0.00000; 81.37969; -0.00006; -0.00006
0.00000; 81.37969; -0.00006; -0.00005
0.00000; 81.37969; -0.00006; -0.00005
0.00000; 81.37969; -0.00006; -0.00005
0.00000; 81.37969; -0.00006; -0.00004
0.00000; 81.37969; -0.00006; -0.00004
0.00000; 81.37969; -0.00006; -0.00004
0.00000; 81.37969; -0.00006; -0.00003
0.00000; 81.37969; -0.00006; -0.00003
0.00000; 81.37969; -0.00006; -0.00002
0.00000; 81.37969; -0.00006; -0.00002
-0.00000; 81.37969; -0.00006; -0.00002
-0.00000; 81.37969; -0.00006; -0.00001
-0.00000; 81.37969; -0.00006; -0.00001
-0.00000; 81.37969; -0.00006; -0.00001
-0.00000; 81.37969; -0.00006; -0.00000
-0.00000; 81.37969; -0.00006; 0.00000
-0.00000; 81.37969; -0.00006; 0.00000
-0.00000; 81.37969; -0.00006; 0.00001
-0.00000; 81.37969; -0.00006; 0.00001
-0.00000; 81.37969; -0.00006; 0.00002
-0.00000; 81.37969; -0.00006; 0.00003
-0.00000; 81.37969; -0.00006; 0.00003
-0.00000; 81.37969; -0.00006; 0.00004
-0.00000; 81.37969; -0.00006; 0.00005
-0.00000; 81.37969; -0.00006; 0.00005
0.00000; 81.37969; -0.00006; 0.00005
0.00000; 81.37969; -0.00006; 0.00004
0.00000; 81.37969; -0.00006; 0.00002
0.00000; 81.37969; -0.00006; -0.00001
0.00000; 81.37969; -0.00006; -0.00005
-0.00000; 81.37969; -0.00006; -0.00010
-0.00000; 81.37969; -0.00006; -0.00012
-0.00000; 81.37969; -0.00006; -0.00008
-0.00000; 81.37969; -0.00006; 0.00008
-0.00000; 81.37969; -0.00006; 0.00044
